File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\PiggyRemoteHostSync.cs,25,21,11,0,4,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Abstract\TCPPacket.cs,14,12,6,0,2,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Abstract\UDPPacket.cs,14,12,6,0,2,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\Discovery.cs,45,39,25,2,6,1,0,3,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\FileDeletePacket.cs,15,14,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\FileInfoPacket.cs,58,49,31,2,7,0,2,9,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\FilePacket.cs,15,11,5,1,1,0,3,11,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\FileRequestPacket.cs,54,45,29,1,9,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\FolderDeletePacket.cs,13,10,4,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\FolderInfoPacket.cs,74,63,39,2,11,1,0,1,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\NoRequestPacket.cs,19,16,8,1,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\PiggyACK.cs,12,11,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\SyncInfoPacket.cs,119,100,61,8,18,2,1,15,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\SyncNotyfy.cs,12,11,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\SyncRequest.cs,12,11,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete\SyncUDPPacket.cs,25,22,14,1,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Properties\AssemblyInfo.cs,31,15,4,0,3,0,13,67,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\AppDelegate.cs,25,20,12,0,5,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\AppDelegate.designer.cs,11,8,2,0,2,0,1,3,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\DiffWindow.cs,36,26,12,0,7,0,3,17,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\DiffWindow.designer.cs,84,61,35,7,17,0,6,38,6,38
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\DiffWindowController.cs,94,76,40,2,13,0,5,28,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\HostsWindow.cs,36,26,12,0,7,0,3,17,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\HostsWindow.designer.cs,36,25,11,1,5,0,6,38,6,38
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\HostsWindowController.cs,69,52,25,1,12,0,5,28,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\Main.cs,22,19,13,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\MainWindow.cs,36,26,12,0,7,0,3,17,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\MainWindow.designer.cs,76,55,31,6,15,0,6,38,6,38
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\MainWindowController.cs,91,74,43,2,10,0,7,33,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\SettingsWindow.cs,37,27,13,0,7,0,3,17,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\SettingsWindow.designer.cs,116,85,51,11,25,0,6,38,6,38
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\SettingsWindowController.cs,137,114,56,7,17,0,6,34,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui\TextFilesDataSource.cs,46,35,21,3,9,1,2,24,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\DirectoryHelper.cs,68,56,28,7,12,1,0,1,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\IpHelper.cs,53,46,22,2,7,1,0,1,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\Resolver.cs,81,68,34,11,13,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardIPAddress.cs,30,25,13,2,5,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardIpEndPoint.cs,17,14,10,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardNetworkStream.cs,33,26,14,1,7,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardSslStream.cs,43,26,14,1,9,0,8,27,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardTcpClient.cs,38,30,16,1,8,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardTcpListener.cs,34,27,15,1,7,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandardUdpClient.cs,46,38,20,2,8,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\StandarFileInfo.cs,44,36,18,3,8,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver\ThreadHelper.cs,17,13,7,0,4,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\ConverterTests.cs,39,33,18,0,6,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\CRC32Test.cs,43,31,17,0,2,0,10,41,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\FileMergerTests.cs,17,16,7,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\FilePacketCreatorTest.cs,28,20,13,0,1,1,7,34,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\FileWatcherTest.cs,25,17,8,0,1,0,7,31,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\PiggyConnectTest.cs,78,53,34,0,5,2,20,83,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\PiggyRemoteHostTests.cs,41,11,6,0,1,0,29,67,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\SyncNotyfyTest.cs,25,17,9,0,1,0,7,32,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\ValidatorTest.cs,18,15,7,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\DiffForm.cs,36,31,17,0,5,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\DiffForm.Designer.cs,122,84,70,1,6,0,32,61,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\HostsViewForm.cs,12,11,5,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\HostsViewForm.Designer.cs,97,64,45,1,7,0,26,59,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\MainForm.cs,39,32,18,0,6,0,1,4,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\MainForm.Designer.cs,120,83,71,1,8,0,29,60,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\Program.cs,19,15,8,0,1,0,3,12,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\SettingsForm.cs,17,15,7,0,2,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\SettingsForm.Designer.cs,135,94,82,1,6,0,35,62,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\Properties\Resources.Designer.cs,71,38,20,4,8,1,25,132,0,1
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
